,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2194382667541504,0.04887084074856162,0.0037201881408691407,0.0031470374636979274,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
21,0.22456736564636232,0.00450117718414246,0.002008676528930664,0.003109613475092359,0.1,12.0,,,"{'learning_rate': 0.1, 'max_depth': 12}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
19,0.2092524528503418,0.007119207721646235,0.0016027450561523437,0.0032054901123046873,0.1,8.0,,,"{'learning_rate': 0.1, 'max_depth': 8}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
18,0.20601859092712402,0.005214989884446032,0.0008126258850097656,0.0009953361892050471,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
20,0.21529812812805177,0.004591112617537913,0.003607511520385742,0.003671222835764044,0.1,10.0,,,"{'learning_rate': 0.1, 'max_depth': 10}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
2,0.19508833885192872,0.007253655388323272,0.0019520759582519532,0.0010564508040544094,0.1,10.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
4,0.23815765380859374,0.012375753673200218,0.0011967182159423827,0.0014656745149287259,0.1,12.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
5,0.6482311248779297,0.060292272746157276,0.005986213684082031,0.004345563912020304,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.967032967032967,0.967032967032967,0.989010989010989,0.9560439560439561,0.945054945054945,0.964835164835165,0.014578570507056717,8
3,0.6538930416107178,0.026608348384014137,0.004715442657470703,0.0043975730169913746,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.967032967032967,0.967032967032967,0.989010989010989,0.9560439560439561,0.945054945054945,0.964835164835165,0.014578570507056717,8
11,1.1277264595031737,0.05493028198956965,0.007490968704223633,0.003595879793662147,0.01,12.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500}",0.9560439560439561,0.967032967032967,0.989010989010989,0.9560439560439561,0.9560439560439561,0.964835164835165,0.012815278889769889,8
1,0.612505292892456,0.027598560406421585,0.00625452995300293,0.002018069253121508,0.1,6.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.967032967032967,0.967032967032967,0.989010989010989,0.9560439560439561,0.945054945054945,0.964835164835165,0.014578570507056717,8
9,1.1248601913452148,0.08961667638100142,0.006815624237060547,0.004044392753557303,0.01,10.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",0.9560439560439561,0.967032967032967,0.989010989010989,0.9560439560439561,0.9560439560439561,0.964835164835165,0.012815278889769889,8
7,1.1912794589996338,0.03346126908469315,0.007624340057373047,0.004567164528380828,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9560439560439561,0.967032967032967,0.989010989010989,0.9560439560439561,0.9560439560439561,0.964835164835165,0.012815278889769889,8
32,0.16466732025146485,0.004196956945969308,0.003614997863769531,0.003680285632903393,0.1,,,5.0,"{'learning_rate': 0.1, 'min_child_weight': 5}",0.967032967032967,0.9560439560439561,0.989010989010989,0.9560439560439561,0.945054945054945,0.9626373626373628,0.01490621974313247,14
30,0.18872652053833008,0.00420744201144518,0.003608512878417969,0.0036728144910814697,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.967032967032967,0.967032967032967,0.967032967032967,0.9560439560439561,0.945054945054945,0.9604395604395604,0.008791208791208798,15
31,0.17913217544555665,0.0032399680055951174,0.001603412628173828,0.003206825256347656,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.967032967032967,0.967032967032967,0.978021978021978,0.9560439560439561,0.9340659340659341,0.9604395604395604,0.014906219743132445,15
35,0.23182759284973145,0.006453018845585656,0.003205728530883789,0.003926199786480345,0.01,,,3.0,"{'learning_rate': 0.01, 'min_child_weight': 3}",0.9560439560439561,0.9560439560439561,0.978021978021978,0.945054945054945,0.9230769230769231,0.9516483516483516,0.017855029460738355,17
34,0.2567484378814697,0.02411564321895132,0.002421140670776367,0.0029489939749957087,0.01,,,2.0,"{'learning_rate': 0.01, 'min_child_weight': 2}",0.9560439560439561,0.967032967032967,0.9560439560439561,0.945054945054945,0.9230769230769231,0.9494505494505494,0.01490621974313245,18
33,0.1482898235321045,0.011761232347018112,0.002412843704223633,0.003898455337298641,0.1,,,10.0,"{'learning_rate': 0.1, 'min_child_weight': 10}",0.978021978021978,0.945054945054945,0.9560439560439561,0.9230769230769231,0.945054945054945,0.9494505494505494,0.017855029460738355,18
22,0.27965755462646485,0.013425144085244553,0.0020048141479492186,0.004009628295898437,0.01,6.0,,,"{'learning_rate': 0.01, 'max_depth': 6}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,20
25,0.26709256172180174,0.01627104823273982,0.003611326217651367,0.0036756455820912185,0.01,12.0,,,"{'learning_rate': 0.01, 'max_depth': 12}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,20
24,0.2731789112091064,0.01728488694571932,0.0,0.0,0.01,10.0,,,"{'learning_rate': 0.01, 'max_depth': 10}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,20
23,0.27308130264282227,0.015674600588283166,0.0020091056823730467,0.0031115515180126056,0.01,8.0,,,"{'learning_rate': 0.01, 'max_depth': 8}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,20
6,0.24853687286376952,0.012434669374112499,0.002109050750732422,0.0031185502996694163,0.01,6.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,20
8,0.281870174407959,0.01377254746356095,0.002004671096801758,0.004009342193603516,0.01,10.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,20
10,0.26615056991577146,0.013564507858542954,0.004257917404174805,0.0033166396935813093,0.01,12.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 100}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,20
17,1.2167040824890136,0.049290044470751464,0.004019832611083985,0.004216430775957747,0.001,12.0,500.0,,"{'learning_rate': 0.001, 'max_depth': 12, 'n_estimators': 500}",0.9560439560439561,0.9560439560439561,0.9340659340659341,0.9230769230769231,0.9120879120879121,0.9362637362637363,0.0175824175824176,27
15,1.2004389762878418,0.06613048817359563,0.0024087905883789064,0.0038887441167750323,0.001,10.0,500.0,,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 500}",0.9560439560439561,0.9560439560439561,0.9340659340659341,0.9230769230769231,0.9120879120879121,0.9362637362637363,0.0175824175824176,27
36,0.21729493141174316,0.004450418880869786,0.0016138076782226563,0.003227615356445313,0.01,,,5.0,"{'learning_rate': 0.01, 'min_child_weight': 5}",0.945054945054945,0.9340659340659341,0.967032967032967,0.9230769230769231,0.9120879120879121,0.9362637362637363,0.01890620937811566,27
13,1.2035890102386475,0.09440143562279513,0.006037187576293945,0.004929355567792831,0.001,6.0,500.0,,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500}",0.9560439560439561,0.9560439560439561,0.9340659340659341,0.9230769230769231,0.9120879120879121,0.9362637362637363,0.0175824175824176,27
37,0.2032607078552246,0.006860534702485493,0.00523228645324707,0.003493293231831578,0.01,,,10.0,"{'learning_rate': 0.01, 'min_child_weight': 10}",0.9560439560439561,0.9120879120879121,0.967032967032967,0.9120879120879121,0.9230769230769231,0.9340659340659341,0.02305074391582752,31
39,0.22935223579406738,0.014269503345658456,0.0016044139862060546,0.003208827972412109,0.001,,,3.0,"{'learning_rate': 0.001, 'min_child_weight': 3}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
38,0.26683664321899414,0.03134820036128038,0.0024431228637695314,0.0029769487046065026,0.001,,,2.0,"{'learning_rate': 0.001, 'min_child_weight': 2}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
12,0.24577388763427735,0.014008553922566131,0.0013591289520263673,0.00114370441193391,0.001,6.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 100}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
14,0.24823193550109862,0.015206881815263765,0.0008061408996582031,0.0009873210892826553,0.001,10.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
29,0.2610775470733643,0.016672289135245082,0.000405120849609375,0.00081024169921875,0.001,12.0,,,"{'learning_rate': 0.001, 'max_depth': 12}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
28,0.2610457420349121,0.011769076447254929,0.0024136066436767577,0.0038981805432186096,0.001,10.0,,,"{'learning_rate': 0.001, 'max_depth': 10}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
27,0.2570457458496094,0.015059551451294128,0.0036234378814697264,0.003664586254032132,0.001,8.0,,,"{'learning_rate': 0.001, 'max_depth': 8}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
26,0.260650110244751,0.014281201915214346,0.0024071693420410155,0.0029437260735696953,0.001,6.0,,,"{'learning_rate': 0.001, 'max_depth': 6}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
16,0.2510411739349365,0.016289589977730508,0.003620147705078125,0.0036858680198771257,0.001,12.0,100.0,,"{'learning_rate': 0.001, 'max_depth': 12, 'n_estimators': 100}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
40,0.2076875686645508,0.012373293127748649,0.004012298583984375,0.004914045632073492,0.001,,,5.0,"{'learning_rate': 0.001, 'min_child_weight': 5}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
41,0.19564428329467773,0.009807433851092692,0.0028214454650878906,0.0027178860910185803,0.001,,,10.0,"{'learning_rate': 0.001, 'min_child_weight': 10}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,32
